year,item_id,app_name,number_user_id_recom
2010,440,Team Fortress 2,7
2010,630,Alien Swarm,4
2010,1250,Killing Floor,4
2010,22600,Worms Reloaded,2
2010,240,Counter-Strike: Source,1
2010,300,Day of Defeat: Source,1
2010,400,Portal,1
2010,550,Left 4 Dead 2,1
2010,2300,DOOM II,1
2010,3910,Sid Meier's Civilization® III Complete,1
2010,4000,Garry's Mod,1
2010,7200,Trackmania United Forever Star Edition,1
2010,8800,Civilization IV: Beyond the Sword,1
2010,8930,Sid Meier's Civilization® V,1
2010,10150,Prototype™,1
2010,12900,AudioSurf,1
2010,13570,Tom Clancy's Splinter Cell Chaos Theory®,1
2010,15320,IL-2 Sturmovik: 1946,1
2010,17450,Dragon Age: Origins,1
2010,21970,,1
2010,22380,Fallout: New Vegas,1
2010,24010,Train Simulator,1
2010,25900,King's Bounty: The Legend,1
2010,31220,,1
2010,32370,STAR WARS™ - Knights of the Old Republic™,1
2010,33680,eversion,1
2010,39690,ArcaniA,1
2010,40700,Machinarium,1
2010,40800,Super Meat Boy,1
2010,45000,Sol Survivor,1
2010,48700,Mount & Blade: Warband,1
2010,57300,Amnesia: The Dark Descent,1
2010,58540,,1
2010,62100,Chime,1
2010,70400,Recettear: An Item Shop's Tale,1
2011,440,Team Fortress 2,57
2011,620,Portal 2,20
2011,105600,Terraria,16
2011,400,Portal,13
2011,4000,Garry's Mod,12
2011,1250,Killing Floor,11
2011,72850,,9
2011,107100,Bastion,7
2011,550,Left 4 Dead 2,6
2011,240,Counter-Strike: Source,5
2011,630,Alien Swarm,5
2011,8980,Borderlands,5
2011,12900,AudioSurf,5
2011,9480,Saints Row 2,4
2011,24960,Battlefield: Bad Company™ 2,4
2011,34330,,4
2011,40800,Super Meat Boy,4
2011,42910,Magicka,4
2011,220,Half-Life 2,3
2011,4560,Company of Heroes - Legacy Edition,3
2011,10180,Call of Duty®: Modern Warfare® 2,3
2011,15620,"Warhammer 40,000: Dawn of War II",3
2011,22200,Zeno Clash,3
2011,22380,Fallout: New Vegas,3
2011,24980,Mass Effect 2,3
2011,35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,3
2011,39120,RIFT,3
2011,41300,Altitude,3
2011,43110,,3
2011,49600,Beat Hazard,3
2011,91310,,3
2011,320,Half-Life 2: Deathmatch,2
2011,8190,Just Cause 2,2
2011,12500,PuzzleQuest: Challenge of the Warlords,2
2011,12750,,2
2011,20900,The Witcher: Enhanced Edition Director's Cut,2
2011,22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,2
2011,22350,BRINK,2
2011,22370,Fallout 3: Game of the Year Edition,2
2011,24200,DC Universe™ Online,2
2011,24240,PAYDAY™ The Heist,2
2011,26500,Cogs,2
2011,26800,Braid,2
2011,33930,Arma 2: Operation Arrowhead,2
2011,34350,,2
2011,50130,Mafia II,2
2011,56400,,2
2011,57900,Duke Nukem Forever,2
2011,63710,BIT.TRIP RUNNER,2
2011,92800,SpaceChem,2
2011,98200,Frozen Synapse,2
2011,99700,NightSky,2
2011,99900,Spiral Knights,2
2011,102600,Orcs Must Die!,2
2011,105400,,2
2011,113400,APB Reloaded,2
2011,10,Counter-Strike,1
2011,70,Half-Life,1
2011,300,Day of Defeat: Source,1
2011,380,Half-Life 2: Episode One,1
2011,420,Half-Life 2: Episode Two,1
2011,570,,1
2011,1510,Uplink,1
2011,2200,Quake III Arena,1
2011,2760,,1
2011,3483,Peggle Extreme,1
2011,3830,Psychonauts,1
2011,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,1
2011,4700,Medieval II: Total War™,1
2011,6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,1
2011,6060,"Star Wars: Battlefront 2 (Classic, 2005)",1
2011,6860,Hitman: Blood Money,1
2011,6880,Just Cause,1
2011,6910,Deus Ex: Game of the Year Edition,1
2011,7670,BioShock™,1
2011,7760,X-COM: UFO Defense,1
2011,7830,Men of War™,1
2011,8500,EVE Online,1
2011,8930,Sid Meier's Civilization® V,1
2011,9050,DOOM 3,1
2011,9180,Commander Keen,1
2011,9200,RAGE,1
2011,9880,Champions Online,1
2011,10500,Empire: Total War™,1
2011,10680,Aliens vs. Predator™,1
2011,11450,Overlord™,1
2011,12220,Grand Theft Auto: Episodes from Liberty City,1
2011,12810,Overlord II,1
2011,13140,,1
2011,13510,,1
2011,13600,Prince of Persia®: The Sands of Time,1
2011,15520,AaAaAA!!! - A Reckless Disregard for Gravity,1
2011,15700,Oddworld: Abe's Oddysee®,1
2011,15710,Oddworld: Abe's Exoddus®,1
2011,17020,,1
2011,17460,Mass Effect,1
2011,17710,Nuclear Dawn,1
2011,19680,,1
2011,20510,S.T.A.L.K.E.R.: Clear Sky,1
2011,20570,"Warhammer® 40,000: Dawn of War® II Chaos Rising",1
2011,20920,The Witcher 2: Assassins of Kings Enhanced Edition,1
2011,21660,Street Fighter® IV,1
2011,22100,Mount & Blade,1
2011,22600,Worms Reloaded,1
2011,24740,Burnout Paradise: The Ultimate Box,1
2011,24860,,1
2011,25010,Lugaru HD,1
2011,25800,Europa Universalis III Complete,1
2011,26900,Crayon Physics Deluxe,1
2011,31280,Poker Night at the Inventory,1
2011,31410,,1
2011,32370,STAR WARS™ - Knights of the Old Republic™,1
2011,32440,LEGO® Star Wars™ - The Complete Saga,1
2011,32500,STAR WARS™: The Force Unleashed™ II,1
2011,33220,,1
2011,33310,,1
2011,33460,From Dust,1
2011,34030,Napoleon: Total War™,1
2011,35480,Dwarfs!?,1
2011,35700,Trine Enchanted Edition,1
2011,36630,,1
2011,38600,Faerie Solitaire,1
2011,41070,,1
2011,41600,Earthworm Jim 3D,1
2011,41800,Gratuitous Space Battles,1
2011,42700,Call of Duty®: Black Ops,1
2011,42960,Victoria II,1
2011,45300,Wings of Prey,1
2011,47700,Command & Conquer 4: Tiberian Twilight,1
2011,48190,Assassin’s Creed® Brotherhood,1
2011,49400,,1
2011,50510,Burn Zombie Burn!,1
2011,55040,Atom Zombie Smasher,1
2011,55150,"Warhammer 40,000: Space Marine",1
2011,57000,NyxQuest: Kindred Spirits,1
2011,57400,,1
2011,58200,Jolly Rover,1
2011,61500,Age of Wonders,1
2011,61600,Zen Bound 2,1
2011,62000,Flight Control HD,1
2011,63200,Monday Night Combat,1
2011,63500,Swords and Soldiers HD,1
2011,63900,Fantasy Wars,1
2011,65800,Dungeon Defenders,1
2011,70300,VVVVVV,1
2011,73210,Sengoku,1
2011,80000,APOX,1
2011,91700,E.Y.E: Divine Cybermancy,1
2011,92300,A.R.E.S.: Extinction Agenda,1
2011,93200,Revenge of the Titans,1
2011,94200,Jamestown,1
2011,97100,Section 8®: Prejudice™,1
2011,98800,Dungeons of Dredmor,1
2011,99910,Puzzle Pirates,1
2011,107200,Space Pirates and Zombies,1
2011,107300,Breath of Death VII,1
